 live one life that lasts 1000 years, live 10 lives that last 100 years each?,0,0
 use eye drops made of vinegar  ,toilet paper made from sandpaper?,0,0
 be without elbows  ,be without knees?,0,0
 experience a sharp pain in your side each time someone says your name  ,have a bell sound each time you are aroused?,0,0
 have a large 10 inch long belly button that swayed to music  ,have accordions for legs?,0,0
 have to sneeze but not be able to  ,have something stuck in your eye for an entire year?,0,0
 have a dragon  ,be a dragon?,0,0
 secretly have sex with a goat  ,have everyone think you had sex with a goat even though you didnt?,0,0
 have hair nowhere on your body  ,be very hairy all over and not be able to shave?,0,0
 never be able to speak again  ,always have to say everything that is on your mind?,0,0
 be able to read  ,be able to read minds (but be illiterate)?,0,0
 be able to speak fluently every language in the wld  ,be the best in the world at something of your choosing?,0,0
 be in prison f five years in solitary confinement  ,not ever go to prison and not ever become rich?,0,0
 wear a snow suit in the desert  ,be naked in Antarctica?,0,0
 change the past  ,be able to see into the future?,0,0
 have one sex partner , multiple sex partners?,0,0
 email an embarrassing email to your entire company  ,eat an entire stick of butter?,0,0
 never laugh again  ,never use your smartphone again?,0,0
 lose $1000  ,lose all of your phone contacts?,0,0
 be stung by a jellyfish  ,give up Facebook for a week?,0,0
 eat the same meal f the rest of your life  ,never use Instagram again?,0,0
 give up alcohol f a year  ,give up your smartphone for a month?,0,0
 never have coffee again  ,live without TV forever?,0,0
 feel like you were hung over f a week  ,not use email for a week?,0,0
 win a trip to Hawaii  ,win a free laptop?,0,0
 give up shopping f six months  ,give up emoji for six months?,0,0
 have cookies , have French fries?,0,0
 be good at spts  ,get good grades?,0,0
 help clean up after dinner  ,help set the table before dinner?,0,0
 get up early  ,stay up late?,0,0
 be super fast  ,super strong?,0,0
 be invisible  ,have the ability to fly?,0,0
 be the smartest kid in school  ,the most popular kid in school?,0,0
 eat your boogers  ,lick your shoe?,0,0
 have bad breath , smelly feet?,0,0
 be a police officer  ,be a firefighter?,0,0
